"code"|"region"
"31-109"|"NE-Lancaster"
"31-111"|"NE-Lincoln"
"31-113"|"NE-Logan"
"31-115"|"NE-Loup"
"31-117"|"NE-McPherson"
"31-119"|"NE-Madison"
"31-121"|"NE-Merrick"
"31-123"|"NE-Morrill"
"31-125"|"NE-Nance"
"31-127"|"NE-Nemaha"
"31-129"|"NE-Nuckolls"
"31-131"|"NE-Otoe"
"31-133"|"NE-Pawnee"
"31-135"|"NE-Perkins"
"31-137"|"NE-Phelps"
"31-139"|"NE-Pierce"
"31-141"|"NE-Platte"
"31-143"|"NE-Polk"
"31-145"|"NE-Red_Willow"
"31-147"|"NE-Richardson"
"31-149"|"NE-Rock"
"31-151"|"NE-Saline"
"31-153"|"NE-Sarpy"
"31-155"|"NE-Saunders"
"31-157"|"NE-Scotts_Bluff"
"31-159"|"NE-Seward"
"31-161"|"NE-Sheridan"
"31-163"|"NE-Sherman"
"31-165"|"NE-Sioux"
"31-167"|"NE-Stanton"
"31-169"|"NE-Thayer"
"31-171"|"NE-Thomas"
"31-173"|"NE-Thurston"
"31-175"|"NE-Valley"
"31-177"|"NE-Washington"
"31-179"|"NE-Wayne"
"31-181"|"NE-Webster"
"31-183"|"NE-Wheeler"
"31-185"|"NE-York"
"32-001"|"NV-Churchill"
"32-003"|"NV-Clark"
"32-005"|"NV-Douglas"
"32-007"|"NV-Elko"
"32-009"|"NV-Esmeralda"
"32-011"|"NV-Eureka"
"32-013"|"NV-Humboldt"
"32-015"|"NV-Lander"
"32-017"|"NV-Lincoln"
"32-019"|"NV-Lyon"
"32-021"|"NV-Mineral"
"32-023"|"NV-Nye"
"32-027"|"NV-Pershing"
"32-029"|"NV-Storey"
"32-031"|"NV-Washoe"
"32-033"|"NV-White_Pine"
"32-510"|"NV-Carson_City"
"32-902"|"NV-Clark_County"
"33-001"|"NH-Belknap"
"33-003"|"NH-Carroll"
"33-005"|"NH-Cheshire"
"33-007"|"NH-Coos"
"33-009"|"NH-Grafton"
"33-011"|"NH-Hillsborough"
"33-013"|"NH-Merrimack"
"33-015"|"NH-Rockingham"
"33-017"|"NH-Strafford"
"33-019"|"NH-Sullivan"
"34-001"|"NJ-Atlantic"
"34-003"|"NJ-Bergen"
"34-005"|"NJ-Burlington"
"34-007"|"NJ-Camden"
"34-009"|"NJ-Cape_May"
"34-011"|"NJ-Cumberland"
"34-013"|"NJ-Essex"
"34-015"|"NJ-Gloucester"
"34-017"|"NJ-Hudson"
"34-019"|"NJ-Hunterdon"
"34-021"|"NJ-Mercer"
"34-023"|"NJ-Middlesex"
"34-025"|"NJ-Monmouth"
"34-027"|"NJ-Morris"
"34-029"|"NJ-Ocean"
"34-031"|"NJ-Passaic"
"34-033"|"NJ-Salem"
"34-035"|"NJ-Somerset"
"34-037"|"NJ-Sussex"
"34-039"|"NJ-Union"
"34-041"|"NJ-Warren"
"35-001"|"NM-Bernalillo"
"35-003"|"NM-Catron"
"35-005"|"NM-Chaves"
"35-006"|"NM-Cibola"
"35-007"|"NM-Colfax"
"35-009"|"NM-Curry"
"35-011"|"NM-De_Baca"
"35-013"|"NM-Dona_Ana"
"35-015"|"NM-Eddy"
"35-017"|"NM-Grant"
"35-019"|"NM-Guadalupe"
"35-021"|"NM-Harding"
"35-023"|"NM-Hidalgo"
"35-025"|"NM-Lea"
"35-027"|"NM-Lincoln"
"35-028"|"NM-Los_Alamos"
"35-029"|"NM-Luna"
"35-031"|"NM-McKinley"
"35-033"|"NM-Mora"
"35-035"|"NM-Otero"
"35-037"|"NM-Quay"
"35-039"|"NM-Rio_Arriba"
"35-041"|"NM-Roosevelt"
"35-043"|"NM-Sandoval"
"35-045"|"NM-San_Juan"
"35-047"|"NM-San_Miguel"
"35-049"|"NM-Santa_Fe"
"35-051"|"NM-Sierra"
"35-053"|"NM-Socorro"
"35-055"|"NM-Taos"
"35-057"|"NM-Torrance"
"35-059"|"NM-Union"
"35-061"|"NM-Valencia"
"36-001"|"NY-Albany"
"36-003"|"NY-Allegany"
"36-005"|"NY-Bronx"
"36-007"|"NY-Broome"
"36-009"|"NY-Cattaraugus"
"36-011"|"NY-Cayuga"
"36-013"|"NY-Chautauqua"
"36-015"|"NY-Chemung"
"36-017"|"NY-Chenango"
"36-019"|"NY-Clinton"
"36-021"|"NY-Columbia"
"36-023"|"NY-Cortland"
"36-025"|"NY-Delaware"
"36-027"|"NY-Dutchess"
"36-029"|"NY-Erie"
"36-031"|"NY-Essex"
"36-033"|"NY-Franklin"
"36-035"|"NY-Fulton"
"36-037"|"NY-Genesee"
"36-039"|"NY-Greene"
"36-041"|"NY-Hamilton"
"36-043"|"NY-Herkimer"
"36-045"|"NY-Jefferson"
"36-047"|"NY-Kings"
"36-049"|"NY-Lewis"
"36-051"|"NY-Livingston"
"36-053"|"NY-Madison"
"36-055"|"NY-Monroe"
"36-057"|"NY-Montgomery"
"36-059"|"NY-Nassau"
"36-061"|"NY-New_York"
"36-063"|"NY-Niagara"
"36-065"|"NY-Oneida"
"36-067"|"NY-Onondaga"
"36-069"|"NY-Ontario"
"36-071"|"NY-Orange"
"36-073"|"NY-Orleans"
"36-075"|"NY-Oswego"
"36-077"|"NY-Otsego"
"36-079"|"NY-Putnam"
"36-081"|"NY-Queens"
"36-083"|"NY-Rensselaer"
"36-085"|"NY-Richmond"
"36-087"|"NY-Rockland"
"36-089"|"NY-St._Lawrence"
"36-091"|"NY-Saratoga"
"36-093"|"NY-Schenectady"
"36-095"|"NY-Schoharie"
"36-097"|"NY-Schuyler"
"36-099"|"NY-Seneca"
"36-101"|"NY-Steuben"
"36-103"|"NY-Suffolk"
"36-105"|"NY-Sullivan"
"36-107"|"NY-Tioga"
"36-109"|"NY-Tompkins"
"36-111"|"NY-Ulster"
"36-113"|"NY-Warren"
"36-115"|"NY-Washington"
"36-117"|"NY-Wayne"
"36-119"|"NY-Westchester"
"36-121"|"NY-Wyoming"
"36-123"|"NY-Yates"
"37-001"|"NC-Alamance"
"37-003"|"NC-Alexander"
"37-005"|"NC-Alleghany"
"37-007"|"NC-Anson"
"37-009"|"NC-Ashe"
"37-011"|"NC-Avery"
"37-013"|"NC-Beaufort"
"37-015"|"NC-Bertie"
"37-017"|"NC-Bladen"
"37-019"|"NC-Brunswick"
"37-021"|"NC-Buncombe"
"37-023"|"NC-Burke"
"37-025"|"NC-Cabarrus"
"37-027"|"NC-Caldwell"
"37-029"|"NC-Camden"
"37-031"|"NC-Carteret"
"37-033"|"NC-Caswell"
"37-035"|"NC-Catawba"
"37-037"|"NC-Chatham"
"37-039"|"NC-Cherokee"
"37-041"|"NC-Chowan"
"37-043"|"NC-Clay"
"37-045"|"NC-Cleveland"
"37-047"|"NC-Columbus"
"37-049"|"NC-Craven"
"37-051"|"NC-Cumberland"
"37-053"|"NC-Currituck"
"37-055"|"NC-Dare"
"37-057"|"NC-Davidson"
"37-059"|"NC-Davie"
"37-061"|"NC-Duplin"
"37-063"|"NC-Durham"
"37-065"|"NC-Edgecombe"
"37-067"|"NC-Forsyth"
"37-069"|"NC-Franklin"
"37-071"|"NC-Gaston"
"37-073"|"NC-Gates"
"37-075"|"NC-Graham"
"37-077"|"NC-Granville"
"37-079"|"NC-Greene"
"37-081"|"NC-Guilford"
"37-083"|"NC-Halifax"
"37-085"|"NC-Harnett"
"37-087"|"NC-Haywood"
"37-089"|"NC-Henderson"
"37-091"|"NC-Hertford"
"37-093"|"NC-Hoke"
"37-095"|"NC-Hyde"
"37-097"|"NC-Iredell"
"37-099"|"NC-Jackson"
"37-101"|"NC-Johnston"
"37-103"|"NC-Jones"
"37-105"|"NC-Lee"
"37-107"|"NC-Lenoir"
"37-109"|"NC-Lincoln"
"37-111"|"NC-McDowell"
"37-113"|"NC-Macon"
"37-115"|"NC-Madison"
"37-117"|"NC-Martin"
"37-119"|"NC-Mecklenburg"
"37-121"|"NC-Mitchell"
"37-123"|"NC-Montgomery"
"37-125"|"NC-Moore"
"37-127"|"NC-Nash"
"37-129"|"NC-New_Hanover"
"37-131"|"NC-Northampton"
"37-133"|"NC-Onslow"
"37-135"|"NC-Orange"
"37-137"|"NC-Pamlico"
"37-139"|"NC-Pasquotank"
"37-141"|"NC-Pender"
"37-143"|"NC-Perquimans"
"37-145"|"NC-Person"
"37-147"|"NC-Pitt"
"37-149"|"NC-Polk"
"37-151"|"NC-Randolph"
"37-153"|"NC-Richmond"
"37-155"|"NC-Robeson"
"37-157"|"NC-Rockingham"
"37-159"|"NC-Rowan"
"37-161"|"NC-Rutherford"
"37-163"|"NC-Sampson"
"37-165"|"NC-Scotland"
"37-167"|"NC-Stanly"
"37-169"|"NC-Stokes"
"37-171"|"NC-Surry"
"37-173"|"NC-Swain"
"37-175"|"NC-Transylvania"
"37-177"|"NC-Tyrrell"
"37-179"|"NC-Union"
"37-181"|"NC-Vance"
"37-183"|"NC-Wake"
"37-185"|"NC-Warren"
"37-187"|"NC-Washington"
"37-189"|"NC-Watauga"
"37-191"|"NC-Wayne"
"37-193"|"NC-Wilkes"
"37-195"|"NC-Wilson"
"37-197"|"NC-Yadkin"
"37-199"|"NC-Yancey"
"38-001"|"ND-Adams"
"38-003"|"ND-Barnes"
"38-005"|"ND-Benson"
"38-007"|"ND-Billings"
"38-009"|"ND-Bottineau"
"38-011"|"ND-Bowman"
"38-013"|"ND-Burke"
"38-015"|"ND-Burleigh"
"38-017"|"ND-Cass"
"38-019"|"ND-Cavalier"
"38-021"|"ND-Dickey"
"38-023"|"ND-Divide"
"38-025"|"ND-Dunn"
"38-027"|"ND-Eddy"
"38-029"|"ND-Emmons"
"38-031"|"ND-Foster"
"38-033"|"ND-Golden_Valley"
"38-035"|"ND-Grand_Forks"
"38-037"|"ND-Grant"
"38-039"|"ND-Griggs"
"38-041"|"ND-Hettinger"
"38-043"|"ND-Kidder"
"38-045"|"ND-LaMoure"
"38-047"|"ND-Logan"
"38-049"|"ND-McHenry"
"38-051"|"ND-McIntosh"
"38-053"|"ND-McKenzie"
"38-055"|"ND-McLean"
"38-057"|"ND-Mercer"
"38-059"|"ND-Morton"
"38-061"|"ND-Mountrail"
"38-063"|"ND-Nelson"
"38-065"|"ND-Oliver"
"38-067"|"ND-Pembina"
"38-069"|"ND-Pierce"
"38-071"|"ND-Ramsey"
"38-073"|"ND-Ransom"
"38-075"|"ND-Renville"
"38-077"|"ND-Richland"
"38-079"|"ND-Rolette"
"38-081"|"ND-Sargent"
"38-083"|"ND-Sheridan"
"38-085"|"ND-Sioux"
"38-087"|"ND-Slope"
"38-089"|"ND-Stark"
"38-091"|"ND-Steele"
"38-093"|"ND-Stutsman"
"38-095"|"ND-Towner"
"38-097"|"ND-Traill"
"38-099"|"ND-Walsh"
"38-101"|"ND-Ward"
"38-103"|"ND-Wells"
"38-105"|"ND-Williams"
"39-001"|"OH-Adams"
"39-003"|"OH-Allen"
"39-005"|"OH-Ashland"
"39-007"|"OH-Ashtabula"
"39-009"|"OH-Athens"
"39-011"|"OH-Auglaize"
"39-013"|"OH-Belmont"
"39-015"|"OH-Brown"
"39-017"|"OH-Butler"
"39-019"|"OH-Carroll"
"39-021"|"OH-Champaign"
"39-023"|"OH-Clark"
"39-025"|"OH-Clermont"
"39-027"|"OH-Clinton"
"39-029"|"OH-Columbiana"
"39-031"|"OH-Coshocton"
"39-033"|"OH-Crawford"
"39-035"|"OH-Cuyahoga"
"39-037"|"OH-Darke"
"39-039"|"OH-Defiance"
"39-041"|"OH-Delaware"
"39-043"|"OH-Erie"
"39-045"|"OH-Fairfield"
"39-047"|"OH-Fayette"
"39-049"|"OH-Franklin"
"39-051"|"OH-Fulton"
"39-053"|"OH-Gallia"
"39-055"|"OH-Geauga"
"39-057"|"OH-Greene"
"39-059"|"OH-Guernsey"
"39-061"|"OH-Hamilton"
"39-063"|"OH-Hancock"
"39-065"|"OH-Hardin"
"39-067"|"OH-Harrison"
"39-069"|"OH-Henry"
"39-071"|"OH-Highland"
"39-073"|"OH-Hocking"
"39-075"|"OH-Holmes"
"39-077"|"OH-Huron"
"39-079"|"OH-Jackson"
"39-081"|"OH-Jefferson"
"39-083"|"OH-Knox"
"39-085"|"OH-Lake"
"39-087"|"OH-Lawrence"
"39-089"|"OH-Licking"
"39-091"|"OH-Logan"
"39-093"|"OH-Lorain"
"39-095"|"OH-Lucas"
"39-097"|"OH-Madison"
"39-099"|"OH-Mahoning"
"39-101"|"OH-Marion"
"39-103"|"OH-Medina"
"39-105"|"OH-Meigs"
"39-107"|"OH-Mercer"
"39-109"|"OH-Miami"
"39-111"|"OH-Monroe"
"39-113"|"OH-Montgomery"
"39-115"|"OH-Morgan"
"39-117"|"OH-Morrow"
"39-119"|"OH-Muskingum"
"39-121"|"OH-Noble"
"39-123"|"OH-Ottawa"
"39-125"|"OH-Paulding"
"39-127"|"OH-Perry"
"39-129"|"OH-Pickaway"
"39-131"|"OH-Pike"
"39-133"|"OH-Portage"
"39-135"|"OH-Preble"
"39-137"|"OH-Putnam"
"39-139"|"OH-Richland"
"39-141"|"OH-Ross"
"39-143"|"OH-Sandusky"
"39-145"|"OH-Scioto"
"39-147"|"OH-Seneca"
"39-149"|"OH-Shelby"
"39-151"|"OH-Stark"
"39-153"|"OH-Summit"
"39-155"|"OH-Trumbull"
"39-157"|"OH-Tuscarawas"
"39-159"|"OH-Union"
"39-161"|"OH-Van_Wert"
"39-163"|"OH-Vinton"
"39-165"|"OH-Warren"
"39-167"|"OH-Washington"
"39-169"|"OH-Wayne"
"39-171"|"OH-Williams"
"39-173"|"OH-Wood"
"39-175"|"OH-Wyandot"
"40-001"|"OK-Adair"
"40-003"|"OK-Alfalfa"
"40-005"|"OK-Atoka"
"40-007"|"OK-Beaver"
"40-009"|"OK-Beckham"
"40-011"|"OK-Blaine"
"40-013"|"OK-Bryan"
"40-015"|"OK-Caddo"
"40-017"|"OK-Canadian"
"40-019"|"OK-Carter"
"40-021"|"OK-Cherokee"
"40-023"|"OK-Choctaw"
"40-025"|"OK-Cimarron"
"40-027"|"OK-Cleveland"
"40-029"|"OK-Coal"
"40-031"|"OK-Comanche"
"40-033"|"OK-Cotton"
"40-035"|"OK-Craig"
"40-037"|"OK-Creek"
"40-039"|"OK-Custer"
"40-041"|"OK-Delaware"
"40-043"|"OK-Dewey"
"40-045"|"OK-Ellis"
"40-047"|"OK-Garfield"
"40-049"|"OK-Garvin"
"40-051"|"OK-Grady"
"40-053"|"OK-Grant"
"40-055"|"OK-Greer"
"40-057"|"OK-Harmon"
"40-059"|"OK-Harper"
"40-061"|"OK-Haskell"
"40-063"|"OK-Hughes"
"40-065"|"OK-Jackson"
"40-067"|"OK-Jefferson"
"40-069"|"OK-Johnston"
"40-071"|"OK-Kay"
"40-073"|"OK-Kingfisher"
"40-075"|"OK-Kiowa"
"40-077"|"OK-Latimer"
"40-079"|"OK-Le_Flore"
"40-081"|"OK-Lincoln"
"40-083"|"OK-Logan"
"40-085"|"OK-Love"
"40-087"|"OK-McClain"
"40-089"|"OK-McCurtain"
"40-091"|"OK-McIntosh"
"40-093"|"OK-Major"
"40-095"|"OK-Marshall"
"40-097"|"OK-Mayes"
"40-099"|"OK-Murray"
"40-101"|"OK-Muskogee"
"40-103"|"OK-Noble"
"40-105"|"OK-Nowata"
"40-107"|"OK-Okfuskee"
"40-109"|"OK-Oklahoma"
"40-111"|"OK-Okmulgee"
"40-113"|"OK-Osage"
"40-115"|"OK-Ottawa"
"40-117"|"OK-Pawnee"
"40-119"|"OK-Payne"
"40-121"|"OK-Pittsburg"
"40-123"|"OK-Pontotoc"
"40-125"|"OK-Pottawatomie"
"40-127"|"OK-Pushmataha"
"40-129"|"OK-Roger_Mills"
"40-131"|"OK-Rogers"
"40-133"|"OK-Seminole"
"40-135"|"OK-Sequoyah"
"40-137"|"OK-Stephens"
"40-139"|"OK-Texas"
"40-141"|"OK-Tillman"
"40-143"|"OK-Tulsa"
"40-145"|"OK-Wagoner"
"40-147"|"OK-Washington"
"40-149"|"OK-Washita"
"40-151"|"OK-Woods"
"40-153"|"OK-Woodward"
"41-001"|"OR-Baker"
"41-003"|"OR-Benton"
"41-005"|"OR-Clackamas"
"41-007"|"OR-Clatsop"
"41-009"|"OR-Columbia"
"41-011"|"OR-Coos"
"41-013"|"OR-Crook"
"41-015"|"OR-Curry"
"41-017"|"OR-Deschutes"
"41-019"|"OR-Douglas"
"41-021"|"OR-Gilliam"
"41-023"|"OR-Grant"
"41-025"|"OR-Harney"
"41-027"|"OR-Hood_River"
"41-029"|"OR-Jackson"
"41-031"|"OR-Jefferson"
"41-033"|"OR-Josephine"
"41-035"|"OR-Klamath"
"41-037"|"OR-Lake"
"41-039"|"OR-Lane"
"41-041"|"OR-Lincoln"
"41-043"|"OR-Linn"
"41-045"|"OR-Malheur"
"41-047"|"OR-Marion"
"41-049"|"OR-Morrow"
"41-051"|"OR-Multnomah"
"41-053"|"OR-Polk"
"41-055"|"OR-Sherman"
"41-057"|"OR-Tillamook"
"41-059"|"OR-Umatilla"
"41-061"|"OR-Union"
"41-063"|"OR-Wallowa"
"41-065"|"OR-Wasco"
"41-067"|"OR-Washington"
"41-069"|"OR-Wheeler"
"41-071"|"OR-Yamhill"
"42-001"|"PA-Adams"
"42-003"|"PA-Allegheny"
"42-005"|"PA-Armstrong"
"42-007"|"PA-Beaver"
"42-009"|"PA-Bedford"
"42-011"|"PA-Berks"
"42-013"|"PA-Blair"
"42-015"|"PA-Bradford"
"42-017"|"PA-Bucks"
"42-019"|"PA-Butler"
"42-021"|"PA-Cambria"
"42-023"|"PA-Cameron"
"42-025"|"PA-Carbon"
"42-027"|"PA-Centre"
"42-029"|"PA-Chester"
"42-031"|"PA-Clarion"
"42-033"|"PA-Clearfield"
"42-035"|"PA-Clinton"
"42-037"|"PA-Columbia"
"42-039"|"PA-Crawford"
"42-041"|"PA-Cumberland"
"42-043"|"PA-Dauphin"
"42-045"|"PA-Delaware"
"42-047"|"PA-Elk"
"42-049"|"PA-Erie"
"42-051"|"PA-Fayette"
"42-053"|"PA-Forest"
"42-055"|"PA-Franklin"
"42-057"|"PA-Fulton"
"42-059"|"PA-Greene"
"42-061"|"PA-Huntingdon"
"42-063"|"PA-Indiana"
"42-065"|"PA-Jefferson"
"42-067"|"PA-Juniata"
"42-069"|"PA-Lackawanna"
"42-071"|"PA-Lancaster"
"42-073"|"PA-Lawrence"
"42-075"|"PA-Lebanon"
"42-077"|"PA-Lehigh"
"42-079"|"PA-Luzerne"
"42-081"|"PA-Lycoming"
"42-083"|"PA-McKean"
"42-085"|"PA-Mercer"
"42-087"|"PA-Mifflin"
"42-089"|"PA-Monroe"
"42-091"|"PA-Montgomery"
"42-093"|"PA-Montour"
"42-095"|"PA-Northampton"
"42-097"|"PA-Northumberland"
"42-099"|"PA-Perry"
"42-101"|"PA-Philadelphia"
"42-103"|"PA-Pike"
"42-105"|"PA-Potter"
"42-107"|"PA-Schuylkill"
"42-109"|"PA-Snyder"
"42-111"|"PA-Somerset"
"42-113"|"PA-Sullivan"
"42-115"|"PA-Susquehanna"
"42-117"|"PA-Tioga"
"42-119"|"PA-Union"
"42-121"|"PA-Venango"
"42-123"|"PA-Warren"
"42-125"|"PA-Washington"
"42-127"|"PA-Wayne"
"42-129"|"PA-Westmoreland"
"42-131"|"PA-Wyoming"
"42-133"|"PA-York"
"44-001"|"RI-Bristol"
"44-003"|"RI-Kent"
"44-005"|"RI-Newport"
"44-007"|"RI-Providence"
"44-009"|"RI-Washington"
"45-001"|"SC-Abbeville"
"45-003"|"SC-Aiken"
"45-005"|"SC-Allendale"
"45-007"|"SC-Anderson"
"45-009"|"SC-Bamberg"
"45-011"|"SC-Barnwell"
"45-013"|"SC-Beaufort"
"45-015"|"SC-Berkeley"
"45-017"|"SC-Calhoun"
"45-019"|"SC-Charleston"
"45-021"|"SC-Cherokee"
"45-023"|"SC-Chester"
"45-025"|"SC-Chesterfield"
"45-027"|"SC-Clarendon"
"45-029"|"SC-Colleton"
"45-031"|"SC-Darlington"
"45-033"|"SC-Dillon"
"45-035"|"SC-Dorchester"
"45-037"|"SC-Edgefield"
"45-039"|"SC-Fairfield"
"45-041"|"SC-Florence"
"45-043"|"SC-Georgetown"
"45-045"|"SC-Greenville"
"45-047"|"SC-Greenwood"
"45-049"|"SC-Hampton"
"45-051"|"SC-Horry"
"45-053"|"SC-Jasper"
"45-055"|"SC-Kershaw"
"45-057"|"SC-Lancaster"
"45-059"|"SC-Laurens"
"45-061"|"SC-Lee"
"45-063"|"SC-Lexington"
"45-065"|"SC-McCormick"
"45-067"|"SC-Marion"
"45-069"|"SC-Marlboro"
"45-071"|"SC-Newberry"
"45-073"|"SC-Oconee"
"45-075"|"SC-Orangeburg"
"45-077"|"SC-Pickens"
"45-079"|"SC-Richland"
"45-081"|"SC-Saluda"
"45-083"|"SC-Spartanburg"
"45-085"|"SC-Sumter"
"45-087"|"SC-Union"
"45-089"|"SC-Williamsburg"
"45-091"|"SC-York"
"46-003"|"SD-Aurora"
"46-005"|"SD-Beadle"
"46-007"|"SD-Bennett"
"46-009"|"SD-Bon_Homme"
"46-011"|"SD-Brookings"
"46-013"|"SD-Brown"
"46-015"|"SD-Brule"
"46-017"|"SD-Buffalo"
"46-019"|"SD-Butte"
"46-021"|"SD-Campbell"
"46-023"|"SD-Charles_Mix"
"46-025"|"SD-Clark"
"46-027"|"SD-Clay"
"46-029"|"SD-Codington"
"46-031"|"SD-Corson"
"46-033"|"SD-Custer"
"46-035"|"SD-Davison"
"46-037"|"SD-Day"
"46-039"|"SD-Deuel"
"46-041"|"SD-Dewey"
"46-043"|"SD-Douglas"
"46-045"|"SD-Edmunds"
"46-047"|"SD-Fall_River"
"46-049"|"SD-Faulk"
"46-051"|"SD-Grant"
"46-053"|"SD-Gregory"
"46-055"|"SD-Haakon"
"46-057"|"SD-Hamlin"
"46-059"|"SD-Hand"
"46-061"|"SD-Hanson"
"46-063"|"SD-Harding"
"46-065"|"SD-Hughes"
"46-067"|"SD-Hutchinson"
"46-069"|"SD-Hyde"
"46-071"|"SD-Jackson"
"46-073"|"SD-Jerauld"
"46-075"|"SD-Jones"
"46-077"|"SD-Kingsbury"
"46-079"|"SD-Lake"
"46-081"|"SD-Lawrence"
"46-083"|"SD-Lincoln"
"46-085"|"SD-Lyman"
"46-087"|"SD-McCook"
"46-089"|"SD-McPherson"
"46-091"|"SD-Marshall"
"46-093"|"SD-Meade"
"46-095"|"SD-Mellette"
"46-097"|"SD-Miner"
"46-099"|"SD-Minnehaha"
"46-101"|"SD-Moody"
"46-103"|"SD-Pennington"
"46-105"|"SD-Perkins"
"46-107"|"SD-Potter"
"46-109"|"SD-Roberts"
"46-111"|"SD-Sanborn"
"46-113"|"SD-Shannon"
"46-115"|"SD-Spink"
"46-117"|"SD-Stanley"
"46-119"|"SD-Sully"
"46-121"|"SD-Todd"
"46-123"|"SD-Tripp"
"46-125"|"SD-Turner"
"46-127"|"SD-Union"
"46-129"|"SD-Walworth"
"46-135"|"SD-Yankton"
"46-137"|"SD-Ziebach"
"47-001"|"TN-Anderson"
"47-003"|"TN-Bedford"
"47-005"|"TN-Benton"
"47-007"|"TN-Bledsoe"
"47-009"|"TN-Blount"
"47-011"|"TN-Bradley"
"47-013"|"TN-Campbell"
"47-015"|"TN-Cannon"
"47-017"|"TN-Carroll"
"47-019"|"TN-Carter"
"47-021"|"TN-Cheatham"
"47-023"|"TN-Chester"
"47-025"|"TN-Claiborne"
"47-027"|"TN-Clay"
"47-029"|"TN-Cocke"
"47-031"|"TN-Coffee"
"47-033"|"TN-Crockett"
"47-035"|"TN-Cumberland"
"47-037"|"TN-Davidson"
"47-039"|"TN-Decatur"
"47-041"|"TN-DeKalb"
"47-043"|"TN-Dickson"
"47-045"|"TN-Dyer"
"47-047"|"TN-Fayette"
"47-049"|"TN-Fentress"
"47-051"|"TN-Franklin"
"47-053"|"TN-Gibson"
"47-055"|"TN-Giles"
"47-057"|"TN-Grainger"
"47-059"|"TN-Greene"
"47-061"|"TN-Grundy"
"47-063"|"TN-Hamblen"
"47-065"|"TN-Hamilton"
"47-067"|"TN-Hancock"
"47-069"|"TN-Hardeman"
"47-071"|"TN-Hardin"
"47-073"|"TN-Hawkins"
"47-075"|"TN-Haywood"
"47-077"|"TN-Henderson"
"47-079"|"TN-Henry"
"47-081"|"TN-Hickman"
"47-083"|"TN-Houston"
"47-085"|"TN-Humphreys"
"47-087"|"TN-Jackson"
"47-089"|"TN-Jefferson"
"47-091"|"TN-Johnson"
"47-093"|"TN-Knox"
"47-095"|"TN-Lake"
"47-097"|"TN-Lauderdale"
"47-099"|"TN-Lawrence"
"47-101"|"TN-Lewis"
"47-103"|"TN-Lincoln"
"47-105"|"TN-Loudon"
"47-107"|"TN-McMinn"
"47-109"|"TN-McNairy"
"47-111"|"TN-Macon"
"47-113"|"TN-Madison"
"47-115"|"TN-Marion"
"47-117"|"TN-Marshall"
"47-119"|"TN-Maury"
"47-121"|"TN-Meigs"
"47-123"|"TN-Monroe"
"47-125"|"TN-Montgomery"
"47-127"|"TN-Moore"
"47-129"|"TN-Morgan"
"47-131"|"TN-Obion"
"47-133"|"TN-Overton"
"47-135"|"TN-Perry"
"47-137"|"TN-Pickett"
"47-139"|"TN-Polk"
"47-141"|"TN-Putnam"
"47-143"|"TN-Rhea"
"47-145"|"TN-Roane"
"47-147"|"TN-Robertson"
"47-149"|"TN-Rutherford"
"47-151"|"TN-Scott"
"47-153"|"TN-Sequatchie"
"47-155"|"TN-Sevier"
"47-157"|"TN-Shelby"
"47-159"|"TN-Smith"
"47-161"|"TN-Stewart"
"47-163"|"TN-Sullivan"
"47-165"|"TN-Sumner"
"47-167"|"TN-Tipton"
"47-169"|"TN-Trousdale"
"47-171"|"TN-Unicoi"
"47-173"|"TN-Union"
"47-175"|"TN-Van_Buren"
"47-177"|"TN-Warren"
"47-179"|"TN-Washington"
"47-181"|"TN-Wayne"
"47-183"|"TN-Weakley"
"47-185"|"TN-White"
"47-187"|"TN-Williamson"
"47-189"|"TN-Wilson"
"48-001"|"TX-Anderson"
"48-003"|"TX-Andrews"
"48-005"|"TX-Angelina"
"48-007"|"TX-Aransas"
"48-009"|"TX-Archer"
"48-011"|"TX-Armstrong"
"48-013"|"TX-Atascosa"
"48-015"|"TX-Austin"
"48-017"|"TX-Bailey"
"48-019"|"TX-Bandera"
"48-021"|"TX-Bastrop"
"48-023"|"TX-Baylor"
"48-025"|"TX-Bee"
"48-027"|"TX-Bell"
"48-029"|"TX-Bexar"
"48-031"|"TX-Blanco"
"48-033"|"TX-Borden"
"48-035"|"TX-Bosque"
"48-037"|"TX-Bowie"
"48-039"|"TX-Brazoria"
"48-041"|"TX-Brazos"
"48-043"|"TX-Brewster"
"48-045"|"TX-Briscoe"
"48-047"|"TX-Brooks"
"48-049"|"TX-Brown"
"48-051"|"TX-Burleson"
"48-053"|"TX-Burnet"
"48-055"|"TX-Caldwell"
"48-057"|"TX-Calhoun"
"48-059"|"TX-Callahan"
"48-061"|"TX-Cameron"
"48-063"|"TX-Camp"
"48-065"|"TX-Carson"
"48-067"|"TX-Cass"
"48-069"|"TX-Castro"
"48-071"|"TX-Chambers"
"48-073"|"TX-Cherokee"
"48-075"|"TX-Childress"
"48-077"|"TX-Clay"
"48-079"|"TX-Cochran"
"48-081"|"TX-Coke"
"48-083"|"TX-Coleman"
"48-085"|"TX-Collin"
"48-087"|"TX-Collingsworth"
"48-089"|"TX-Colorado"
"48-091"|"TX-Comal"
"48-093"|"TX-Comanche"
"48-095"|"TX-Concho"
"48-097"|"TX-Cooke"
"48-099"|"TX-Coryell"
"48-101"|"TX-Cottle"
"48-103"|"TX-Crane"
"48-105"|"TX-Crockett"
"48-107"|"TX-Crosby"
"48-109"|"TX-Culberson"
